ID	Author	Work	Subdoc	TextURN
urn:cite2:gagdt:sentences.v1:Soph_Aj_146	Sophocles	Ajax	269	urn:cts:greekLit:tlg0011.tlg003.perseus-grc1.tokenized:269.1-269.7
urn:cite2:gagdt:sentences.v1:Soph_Aj_147	Sophocles	Ajax	270	urn:cts:greekLit:tlg0011.tlg003.perseus-grc1.tokenized:270.1-270.4
urn:cite2:gagdt:sentences.v1:Soph_Aj_148	Sophocles	Ajax	270	urn:cts:greekLit:tlg0011.tlg003.perseus-grc1.tokenized:270.5-270.9
urn:cite2:gagdt:sentences.v1:Soph_Aj_149	Sophocles	Ajax	271-273	urn:cts:greekLit:tlg0011.tlg003.perseus-grc1.tokenized:271.1-273.7
urn:cite2:gagdt:sentences.v1:Soph_Aj_150	Sophocles	Ajax	274-276	urn:cts:greekLit:tlg0011.tlg003.perseus-grc1.tokenized:274.1-276.8
urn:cite2:gagdt:sentences.v1:Soph_Aj_151	Sophocles	Ajax	277	urn:cts:greekLit:tlg0011.tlg003.perseus-grc1.tokenized:277.1-277.9
urn:cite2:gagdt:sentences.v1:Soph_Aj_152	Sophocles	Ajax	278-279	urn:cts:greekLit:tlg0011.tlg003.perseus-grc1.tokenized:278.1-279.4
urn:cite2:gagdt:sentences.v1:Soph_Aj_153	Sophocles	Ajax	279-280	urn:cts:greekLit:tlg0011.tlg003.perseus-grc1.tokenized:279.5-280.7
urn:cite2:gagdt:sentences.v1:Soph_Aj_154	Sophocles	Ajax	281	urn:cts:greekLit:tlg0011.tlg003.perseus-grc1.tokenized:281.1-281.8
urn:cite2:gagdt:sentences.v1:Soph_Aj_155	Sophocles	Ajax	282	urn:cts:greekLit:tlg0011.tlg003.perseus-grc1.tokenized:282.1-282.8
urn:cite2:gagdt:sentences.v1:Soph_Aj_156	Sophocles	Ajax	283	urn:cts:greekLit:tlg0011.tlg003.perseus-grc1.tokenized:283.1-283.6
urn:cite2:gagdt:sentences.v1:Soph_Aj_157	Sophocles	Ajax	284	urn:cts:greekLit:tlg0011.tlg003.perseus-grc1.tokenized:284.1-284.7
urn:cite2:gagdt:sentences.v1:Soph_Aj_158	Sophocles	Ajax	285-287	urn:cts:greekLit:tlg0011.tlg003.perseus-grc1.tokenized:285.1-287.6
urn:cite2:gagdt:sentences.v1:Soph_Aj_159	Sophocles	Ajax	288	urn:cts:greekLit:tlg0011.tlg003.perseus-grc1.tokenized:288.1-288.6
urn:cite2:gagdt:sentences.v1:Soph_Aj_160	Sophocles	Ajax	288-289	urn:cts:greekLit:tlg0011.tlg003.perseus-grc1.tokenized:288.7-289.2
urn:cite2:gagdt:sentences.v1:Soph_Aj_161	Sophocles	Ajax	289-291	urn:cts:greekLit:tlg0011.tlg003.perseus-grc1.tokenized:289.3-291.2
