ID	Author	Work	Subdoc	TextURN
urn:cite2:gagdt:sentences.v1:Aesch_Ag_139	Aeschylus	Agamemnon	354	urn:cts:greekLit:tlg0085.tlg005.perseus-grc1.tokenized:354.1-354.7
urn:cite2:gagdt:sentences.v1:Aesch_Ag_140	Aeschylus	Agamemnon	355-361	urn:cts:greekLit:tlg0085.tlg005.perseus-grc1.tokenized:355.1-361.5
urn:cite2:gagdt:sentences.v1:Aesch_Ag_141	Aeschylus	Agamemnon	362-366	urn:cts:greekLit:tlg0085.tlg005.perseus-grc1.tokenized:362.1-366.4
urn:cite2:gagdt:sentences.v1:Aesch_Ag_142	Aeschylus	Agamemnon	367-368	urn:cts:greekLit:tlg0085.tlg005.perseus-grc1.tokenized:367.1-368.5
urn:cite2:gagdt:sentences.v1:Aesch_Ag_143	Aeschylus	Agamemnon	369	urn:cts:greekLit:tlg0085.tlg005.perseus-grc1.tokenized:369.1-369.5
urn:cite2:gagdt:sentences.v1:Aesch_Ag_144	Aeschylus	Agamemnon	369-372	urn:cts:greekLit:tlg0085.tlg005.perseus-grc1.tokenized:369.6-372.2
urn:cite2:gagdt:sentences.v1:Aesch_Ag_145	Aeschylus	Agamemnon	372	urn:cts:greekLit:tlg0085.tlg005.perseus-grc1.tokenized:372.3-372.7
urn:cite2:gagdt:sentences.v1:Aesch_Ag_146	Aeschylus	Agamemnon	373-378	urn:cts:greekLit:tlg0085.tlg005.perseus-grc1.tokenized:373.1-378.4
urn:cite2:gagdt:sentences.v1:Aesch_Ag_147	Aeschylus	Agamemnon	378-380	urn:cts:greekLit:tlg0085.tlg005.perseus-grc1.tokenized:378.5-380.4
urn:cite2:gagdt:sentences.v1:Aesch_Ag_148	Aeschylus	Agamemnon	381-384	urn:cts:greekLit:tlg0085.tlg005.perseus-grc1.tokenized:381.1-384.4
